Brand ID,Plant,Cross Plant Configurable Material,Style,Material Number ID,Material Number Text,Color (nrf Color Code),Characteristic Value For Main Sizes Of Variants ID,Fashion Information Field 1,HS2 Product Category,Brand Territory,Last Season Year/Season EMEA,Lot Logo fullbleed-desktop,ATP Current Week 30plus
NF,D060 - VF EDC (BE),NF0A3Y4S1NO1,W HYALITE DOWN JKT,NF0A3Y4S1NO1003,"W HYALITE DOWN JKT Midnight Pet, X Large",304 - DARK TEAL,XL,W - Womens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A3Y4S1NO-HERO?$hero-fullbleed-desktop$,8
NF,D060 - VF EDC (BE),NF0A89GT7BI1,M YUMIORI REV JKT,NF0A89GT7BI1005,"M YUMIORI REV JKT Midnight Petrol, Small",304 - DARK TEAL,S,M - Mens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A89GT7BI-HERO?$hero-fullbleed-desktop$,23
NF,D060 - VF EDC (BE),NF0A853MUHO1,W CROPPED SAIKURU,NF0A853MUHO1004,"W CROPPED SAIKURU VIOLET CROCUS, X Small",510 - MEDIUM PURPLE,XS,W - Womens,115 - APP_Outerwear,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A853MUHO-HERO?$hero-fullbleed-desktop$,2
NF,D060 - VF EDC (BE),NF0A85YUZ9I1,M SUMMER LT UPF SS,NF0A85YUZ9I1003,"M SUMMER LT UPF SS BARELY BLUE/ST, Small",450 - LIGHT BLUE,S,M - Mens,114 - APP_Top,317 - Mountain Sports,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A85YUZ9I-HERO?$hero-fullbleed-desktop$,8
NF,D060 - VF EDC (BE),NF0A7W5U8OR1,M OXEYE TECH,NF0A7W5U8OR1005,"M OXEYE TECH NEW TAUPE GREEN, 12.5",301 - DARK GREEN,125,M - Mens,123 - FTW_Shoe,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7W5U8OR-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A89491OB1,M 24/7 1/4 ZIP TEE,NF0A89491OB1002,"M 24/7 1/4 ZIP TEE Moss Green, Medium",312 - OLIVE,M,M - Mens,114 - APP_Top,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A89491OB-HERO?$hero-fullbleed-desktop$,6
NF,D060 - VF EDC (BE),NF0A89E31IA1,B S/S REAXION 2.0 TEE P,NF0A89E31IA1005,"B S/S REAXION 2.0 TEE P SMOKED, X Large",030 - MEDIUM GREY,XL,K - Kids,114 - APP_Top,992 - Not Applicable,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A89E31IA-HERO?$hero-fullbleed-desktop$,5
NF,D060 - VF EDC (BE),NF0A855MPMI1,W 100 GLACIER 1/4 ZIP,NF0A855MPMI1002,"W 100 GLACIER 1/4 ZIP ICY LILAC, X Large",680 - LIGHT PINK,XL,W - Womens,115 - APP_Outerwear,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A855MPMI-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A8AM6JK31,W DRYZZLE FL JKT,NF0A8AM6JK31005,"W DRYZZLE FL JKT TNF BLACK, Medium",001 - BLACK,M,W - Womens,115 - APP_Outerwear,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8AM6JK3-HERO?$hero-fullbleed-desktop$,31
NF,D060 - VF EDC (BE),NF0A892SECJ1,M MA SOFTSHELL JACKET,NF0A892SECJ1001,"M MA SOFTSHELL JACKET AMBER GRE, X Small",310 - MEDIUM GREEN,XS,M - Mens,115 - APP_Outerwear,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A892SECJ-HERO?$hero-fullbleed-desktop$,7
NF,D060 - VF EDC (BE),NF0A87DZQLI1,W NATURE L/S TEE,NF0A87DZQLI1002,"W NATURE L/S TEE WHITE DUNE, Medium",100 - WHITE,M,W - Womens,114 - APP_Top,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A87DZQLI-HERO?$hero-fullbleed-desktop$,11
NF,D060 - VF EDC (BE),NF0A4PEVZR31,W HEDGEHG FP WP (EU),NF0A4PEVZR31002,"W HEDGEHG FP WP (EU) FLKSTNGRY/MVMST, 11",021 - DARK GREY,110,W - Womens,123 - FTW_Shoe,317 - Mountain Sports,F02022,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A4PEVZR3-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A3YFH4OR1,M QUEST TRICLIMATE,NF0A3YFH4OR1001,"M QUEST TRICLIMATE Amber Green/TN, Large",310 - MEDIUM GREEN,L,M - Mens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A3YFH4OR-HERO?$hero-fullbleed-desktop$,31
NF,D060 - VF EDC (BE),NF0A3Y236821,M LHOTSE JACKET,NF0A3Y236821003,"M LHOTSE JACKET TNF RED, Medium",610 - MEDIUM RED,M,M - Mens,115 - APP_Outerwear,322 - Off Mountain,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A3Y23682-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A87NP5HO1,M SS BOX NSE TEE,NF0A87NP5HO1003,"M SS BOX NSE TEE Moss Green/TNF, X Large",312 - OLIVE,XL,M - Mens,114 - APP_Top,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A87NP5HO-HERO?$hero-fullbleed-desktop$,31
NF,D060 - VF EDC (BE),NF0A7UK71JI1,W STRETCH DOWN PRKA,NF0A7UK71JI1006,"W STRETCH DOWN PRKA Eternal Pur, X Large",501 - DARK PURPLE,XL,W - Womens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7UK71JI-HERO?$hero-fullbleed-desktop$,6
NF,D060 - VF EDC (BE),NF0A7Z894EN1,W DIABLO R STR PANT,NF0A7Z894EN1003,"W DIABLO R STR PANT Asphalt, 10, Regular",021 - DARK GREY,10,W - Womens,113 - APP_Bottom,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7Z894EN-HERO?$hero-fullbleed-desktop$,24
NF,D060 - VF EDC (BE),NF0A7ZGIJK31,W INTERLOCK LEGGING,NF0A7ZGIJK31004,"W INTERLOCK LEGGING TNF, Small, Regular",001 - BLACK,S,W - Womens,113 - APP_Bottom,322 - Off Mountain,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7ZGIJK3-HERO?$hero-fullbleed-desktop$,31
NF,D060 - VF EDC (BE),NF0A884BDYX1,M CREWNECK LIGHT FLEECE,NF0A884BDYX1006,"M CREWNECK LIGHT FLEECE TNFLIGH, X Small",050 - LIGHT GREY,XS,M - Mens,114 - APP_Top,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A884BDYX-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A88W31I41,BABY RVR PERRITO JKT,NF0A88W31I41002,"BABY RVR PERRITO JKT Clay, 18-24 Months",030 - MEDIUM GREY,24M,K - Kids,115 - APP_Outerwear,992 - Not Applicable,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A88W31I4-HERO?$hero-fullbleed-desktop$,31
NF,D060 - VF EDC (BE),NF0A3Y4R0UZ1,W HYALITEDWN HDIE,NF0A3Y4R0UZ1005,"W HYALITEDWN HDIE SMOKED PEARL, Large",030 - MEDIUM GREY,L,W - Womens,115 - APP_Outerwear,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A3Y4R0UZ-HERO?$hero-fullbleed-desktop$,9
NF,D060 - VF EDC (BE),NF0A88TPCZ61,B REVERSIBLE SHASTA F/Z,NF0A88TPCZ61003,"B REVERSIBLE SHASTA F/Z TNF, XXL(18/20)",401 - DARK BLUE,XXL,K - Kids,115 - APP_Outerwear,992 - Not Applicable,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A88TPCZ6-HERO?$hero-fullbleed-desktop$,1
